posible;2.8000;2.2000;2.4000;0.4472;0.4472;0.8944
pueblo;2.6000;1.8000;2.6000;0.5477;0.8367;0.5477
medio;2.0000;2.0000;2.6000;0.0000;0.0000;0.8944
despertar;2.8000;2.8000;3.0000;0.4472;0.4472;0.0000
espacio;2.4000;1.4000;2.0000;0.5477;0.5477;0.7071
distrito;2.0000;2.0000;2.0000;0.0000;0.0000;0.7071
minuto;1.8000;2.2000;2.0000;0.4472;0.4472;0.0000
cantar;2.8000;3.0000;2.8000;0.4472;0.0000;0.4472
igual;2.2000;2.0000;2.6000;0.4472;0.0000;0.5477
departamento;2.2000;1.8000;2.8000;0.4472;0.4472;0.4472
sacar;2.2000;3.0000;2.8000;0.4472;0.0000;0.4472
nada;2.0000;1.6000;2.0000;0.0000;0.5477;1.0000
cambio;2.6000;2.8000;2.0000;0.5477;0.4472;0.7071
gracia;2.8000;2.2000;2.0000;0.4472;0.4472;1.0000
blanco;2.6000;1.6000;3.0000;0.5477;0.8944;0.0000
personaje;2.8000;2.6000;2.4000;0.4472;0.5477;0.5477
semana;2.0000;2.4000;2.6000;0.7071;0.5477;0.5477
ocupar;1.8000;2.8000;2.2000;0.4472;0.4472;0.8367
bajo;2.0000;1.8000;3.0000;0.0000;0.4472;0.0000
antiguo;2.6000;1.4000;2.8000;0.5477;0.5477;0.4472
localidad;2.0000;2.0000;2.0000;0.0000;0.0000;0.7071
lleno;2.2000;1.6000;3.0000;0.4472;0.5477;0.0000
ser;2.8000;3.0000;2.2000;0.4472;0.0000;1.0954
ocurrir;2.4000;2.8000;1.4000;0.5477;0.4472;0.5477
principio;2.4000;2.4000;1.8000;0.5477;0.5477;0.8367
negro;2.0000;1.6000;2.8000;0.0000;0.5477;0.4472
oscuro;2.0000;1.6000;2.8000;0.0000;0.5477;0.4472
ejercito;1.6000;2.6000;3.0000;0.8944;0.5477;0.0000
densidad;2.0000;1.8000;1.8000;0.0000;0.4472;0.8367
frente;2.0000;1.8000;2.0000;0.0000;0.4472;0.7071
hermoso;3.0000;2.2000;2.6000;0.0000;0.8367;0.8944
feliz;3.0000;2.8000;2.4000;0.0000;0.4472;0.8944
poblacional;2.0000;1.8000;1.6000;0.0000;0.4472;0.5477
situacion;2.0000;2.0000;1.6000;0.0000;0.7071;0.5477
